ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7E6|2|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835209||0
7E6|3|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835210||0
7E6|4|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835211||0
7E6|5|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835212||0
7E6|6|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835213||0
7E6|7|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835214||0
7E6|8|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835215||0
7E6|9|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835216||0
7E6|10|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835217||0
7E6|11|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835218||0
7E6|12|8077001|20|28595|85096|999999|1|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835219||0
7E6|13|8077001|20|28594|85096|999999|12|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835220||0
7E6|14|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835221||0
7E6|15|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835222||0
7E6|16|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835223||0
7E6|17|8077001|20|28594|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835224||0
